part_id,descr,part_type,part_type_id,num_parts,num_sets,num_colors,min_year,max_year,url,img_url
46203pb01c01,"Minifig Snowboard with Light Flesh Minifig Head Print, White Bottom",Minifig Accessories,26,1,1,1,2003,2003,https://rebrickable.com/parts/46203pb01c01/minifig-snowboard-with-light-flesh-minifig-head-print+-white-bottom,https://img.rebrickable.com/img/ni.png
3626a,Minifig Head Plain [Solid Stud],Minifigs,6,67,182,4,1975,2011,https://rebrickable.com/parts/3626a/minifig-head-plain-%5Bsolid-stud%5D,https://img.rebrickable.com/img/pieces/14/3626a.png
2446pr0012,Minifig Helmet Standard with Yellow Badge with Minifig Head Print,Minifig Accessories,26,4,4,1,2014,2015,https://rebrickable.com/parts/2446pr0012/minifig-helmet-standard-with-yellow-badge-with-minifig-head-print,https://img.rebrickable.com/img/pieces/elements/6062487.jpg
15423pr0001,Minifig Vest Bulletproof with Minifig Head Badge and &#039;SUPER SECRET POLICE&#039; Print,Minifig Accessories,26,3,6,1,2014,2014,https://rebrickable.com/parts/15423pr0001/minifig-vest-bulletproof-with-minifig-head-badge-and-super-secret-police-print,https://img.rebrickable.com/img/ni.png
93248pr0001,Minifig Head Modified Anubis Guard Head with Gold Print and Red Eyes Print,Minifigs,6,1,2,1,2011,2011,https://rebrickable.com/parts/93248pr0001/minifig-head-modified-anubis-guard-head-with-gold-print-and-red-eyes-print,https://img.rebrickable.com/img/pieces/elements/4609477.jpg
14045,Minifig Ear Protectors / Headphones,Minifig Accessories,26,21,45,2,2013,2015,https://rebrickable.com/parts/14045/minifig-ear-protectors-headphones,https://img.rebrickable.com/img/pieces/elements/6036006.jpg
90462,Minifig Headdress Mummy [Type 2],Minifig Accessories,26,2,4,1,2011,2011,https://rebrickable.com/parts/90462/minifig-headdress-mummy-%5Btype-2%5D,https://img.rebrickable.com/img/pieces/elements/4613404.jpg
3626cpb1523,Minifig Head Nexo Knights Moltor [Hollow Stud],Minifigs,6,1,1,1,2016,2016,https://rebrickable.com/parts/3626cpb1523/minifig-head-nexo-knights-moltor-%5Bhollow-stud%5D,https://img.rebrickable.com/img/pieces/elements/6125682.jpg
16957,Minifig Head Modified RA-7 Protocol Droid ,Minifigs,6,2,2,2,2014,2016,https://rebrickable.com/parts/16957/minifig-head-modified-ra-7-protocol-droid-,https://img.rebrickable.com/img/pieces/elements/6160437.jpg
3626cpr1069,Minifigure Head - Venom Face Print [Hollow Stud],Minifigs,6,2,2,1,2013,2014,https://rebrickable.com/parts/3626cpr1069/minifigure-head-venom-face-print-%5Bhollow-stud%5D,https://img.rebrickable.com/img/pieces/elements/6015953.jpg
30114,Minifig Hair Long and Side Braided with Headband,Minifig Accessories,26,10,23,1,1997,2010,https://rebrickable.com/parts/30114/minifig-hair-long-and-side-braided-with-headband,https://img.rebrickable.com/img/pieces/0/30114.png
30480,Minifig Head Protocol Droid,Minifigs,6,13,14,6,2000,2011,https://rebrickable.com/parts/30480/minifig-head-protocol-droid,https://img.rebrickable.com/img/pieces/142/30480.png
56656,Minifig Head Modified Bionicle Inika Toa Nuparu,Minifigs,6,3,3,1,2006,2006,https://rebrickable.com/parts/56656/minifig-head-modified-bionicle-inika-toa-nuparu,https://img.rebrickable.com/img/pieces/elements/4298922.jpg
