part_id,descr,part_type,min_year,max_year,url,img_url
2586pr0010,Shield - Ovoid with Mirkwood Elf Style Print,accessory,2013,2013,https://rebrickable.com/parts/2586pr0010/shield-ovoid-with-mirkwood-elf-style-print,https://img.rebrickable.com/img/pieces/elements/6061953.jpg
33009px3,Minifig Book 2 x 3 with Hinges and Ghost Face Print [4709],accessory,2001,2001,https://rebrickable.com/parts/33009px3/minifig-book-2-x-3-with-hinges-and-ghost-face-print-%5B4709%5D,https://img.rebrickable.com/img/pieces/elements/4597644.jpg
19951,"Minifig Cape Cloth, Rounded Collar with 3 Top Holes with Black Fur Spots Print",accessory,2015,2016,https://rebrickable.com/parts/19951/minifig-cape-cloth+-rounded-collar-with-3-top-holes-with-black-fur-spots-print,https://img.rebrickable.com/img/pieces/elements/6102708.jpg
24086,Minifig Net,accessory,2016,2016,https://rebrickable.com/parts/24086/minifig-net,https://img.rebrickable.com/img/pieces/elements/6135187.jpg
18396pat0003,Wave Rounded Double with Axle (Flame) with Marbled Black Pattern,accessory,2016,2016,https://rebrickable.com/parts/18396pat0003/wave-rounded-double-with-axle-flame-with-marbled-black-pattern,https://img.rebrickable.com/img/pieces/elements/6185016.jpg
24085,MOP HEAD NO. 1,accessory,2016,2016,https://rebrickable.com/parts/24085/mop-head-no.-1,https://img.rebrickable.com/img/pieces/elements/6153596.jpg
55237b,Minifig Bionicle Mini Weapon (Toa Matoro in 8894),accessory,2006,2007,https://rebrickable.com/parts/55237b/minifig-bionicle-mini-weapon-toa-matoro-in-8894,https://img.rebrickable.com/img/ni.png
15084pr0001,"Minifig Mask Feline with Black Nose, Leopard Spots and Fangs Print",accessory,2014,2015,https://rebrickable.com/parts/15084pr0001/minifig-mask-feline-with-black-nose+-leopard-spots-and-fangs-print,https://img.rebrickable.com/img/pieces/elements/6070247.jpg
24217,MINI CLOTHING W/KNOBS NO. 1,accessory,2016,2016,https://rebrickable.com/parts/24217/mini-clothing-wknobs-no.-1,https://img.rebrickable.com/img/pieces/elements/6132320.jpg
53705,"Minifig Axe Head, Clip-on (Viking) [Thin Clip]",accessory,2005,2015,https://rebrickable.com/parts/53705/minifig-axe-head+-clip-on-viking-%5Bthin-clip%5D,https://img.rebrickable.com/img/pieces/elements/6108518.jpg
61189pr0016,"Minifig Helmet SW Clone Trooper with Holes, Yellow Markings and Black Visor Print (Clone Pilot)",accessory,2013,2015,https://rebrickable.com/parts/61189pr0016/minifig-helmet-sw-clone-trooper-with-holes+-yellow-markings-and-black-visor-print-clone-pilot,https://img.rebrickable.com/img/pieces/elements/6038434.jpg
15427pr0002,Minifig Hair Female Ponytail Off-center with Magenta Stripe Print,accessory,2015,2015,https://rebrickable.com/parts/15427pr0002/minifig-hair-female-ponytail-off-center-with-magenta-stripe-print,https://img.rebrickable.com/img/pieces/elements/6122209.jpg
2715px2,Technic Figure Helmet with Police Yellow Star on Blue/White Shield,accessory,1999,1999,https://rebrickable.com/parts/2715px2/technic-figure-helmet-with-police-yellow-star-on-bluewhite-shield,https://img.rebrickable.com/img/ni.png
15084pr0004,"Minifig Mask Feline with Dark Blue Nose, Fangs and Gray Fur Print",accessory,2015,2015,https://rebrickable.com/parts/15084pr0004/minifig-mask-feline-with-dark-blue-nose+-fangs-and-gray-fur-print,https://img.rebrickable.com/img/pieces/elements/6097351.jpg
18959pr0001,Minifig Nemes with Gold Trim and Blue Stripes Print,accessory,2015,2015,https://rebrickable.com/parts/18959pr0001/minifig-nemes-with-gold-trim-and-blue-stripes-print,https://img.rebrickable.com/img/pieces/elements/6094033.jpg
90542pr0001,Minifig Poncho Half Cloth with Green and Terra Cotta Print,accessory,2010,2010,https://rebrickable.com/parts/90542pr0001/minifig-poncho-half-cloth-with-green-and-terra-cotta-print,https://img.rebrickable.com/img/pieces/elements/4590628.jpg
30593,Minifig Martian Hypersled [Life On Mars],accessory,2001,2001,https://rebrickable.com/parts/30593/minifig-martian-hypersled-%5Blife-on-mars%5D,https://img.rebrickable.com/img/pieces/0/30593.png
20401pr0001,DECO BALL D.11.5 NO. 1,accessory,2015,2015,https://rebrickable.com/parts/20401pr0001/deco-ball-d.11.5-no.-1,https://img.rebrickable.com/img/pieces/elements/6117603.jpg
55237d,Minifig Bionicle Mini Weapon (Toa Hahli in 8894),accessory,2006,2007,https://rebrickable.com/parts/55237d/minifig-bionicle-mini-weapon-toa-hahli-in-8894,https://img.rebrickable.com/img/ni.png
30408px2,Minifig Helmet SW Stormtrooper Print,accessory,2001,2007,https://rebrickable.com/parts/30408px2/minifig-helmet-sw-stormtrooper-print,https://img.rebrickable.com/img/pieces/15/30408p01.png
93565pr0002,Minifig Hockey Body Armor with Football Jersey and Number 12 Print,accessory,2012,2012,https://rebrickable.com/parts/93565pr0002/minifig-hockey-body-armor-with-football-jersey-and-number-12-print,https://img.rebrickable.com/img/pieces/elements/6008105.jpg
87610pr0003,"Minifig Helmet with Holes, SW Mandalorian with Dark Red Visor and Black Handprint Print",accessory,2013,2013,https://rebrickable.com/parts/87610pr0003/minifig-helmet-with-holes+-sw-mandalorian-with-dark-red-visor-and-black-handprint-print,https://img.rebrickable.com/img/pieces/elements/6039912.jpg
94448pat0003,Wave Rounded Large (Flame) with Marbled Dark Purple Pattern,accessory,2012,2015,https://rebrickable.com/parts/94448pat0003/wave-rounded-large-flame-with-marbled-dark-purple-pattern,https://img.rebrickable.com/img/pieces/elements/6118801.jpg
23985,Minifig Weapon - Djinn Sword Hilt with Skull and Bar,accessory,2016,2016,https://rebrickable.com/parts/23985/minifig-weapon-djinn-sword-hilt-with-skull-and-bar,https://img.rebrickable.com/img/pieces/elements/6133038.jpg
20908,MINI FIGURE HELMET NO. 79,accessory,2015,2016,https://rebrickable.com/parts/20908/mini-figure-helmet-no.-79,https://img.rebrickable.com/img/pieces/elements/6122094.jpg
12551pr0003,"Minifig Mask Chima Crocodile with Teeth, Earrings and Olive Green Stripes Print",accessory,2013,2013,https://rebrickable.com/parts/12551pr0003/minifig-mask-chima-crocodile-with-teeth+-earrings-and-olive-green-stripes-print,https://img.rebrickable.com/img/pieces/elements/6022277.jpg
92747pr0004,OVAL SHIELD DEC NO 4,accessory,2015,2015,https://rebrickable.com/parts/92747pr0004/oval-shield-dec-no-4,https://img.rebrickable.com/img/pieces/elements/6124647.jpg
22407,Weapon Axe Head with Bar,accessory,2016,2016,https://rebrickable.com/parts/22407/weapon-axe-head-with-bar,https://img.rebrickable.com/img/pieces/elements/6128870.jpg
22400,MINI VISOR NO.4,accessory,2016,2016,https://rebrickable.com/parts/22400/mini-visor-no.4,https://img.rebrickable.com/img/pieces/elements/6128617.jpg
2587pr21,"Minifig Breastplate with Leg Protection, Fantasy Era Crown King Print",accessory,2008,2009,https://rebrickable.com/parts/2587pr21/minifig-breastplate-with-leg-protection+-fantasy-era-crown-king-print,https://img.rebrickable.com/img/pieces/elements/4506821.jpg
11265pr0001,Minifig Helmet Space with Open Visor Small and Orange and Silver Markings Print,accessory,2013,2013,https://rebrickable.com/parts/11265pr0001/minifig-helmet-space-with-open-visor-small-and-orange-and-silver-markings-print,https://img.rebrickable.com/img/pieces/elements/6020223.jpg
19916,Minifig Helmet SW Darth Vader Type 2 Top,accessory,2015,2016,https://rebrickable.com/parts/19916/minifig-helmet-sw-darth-vader-type-2-top,https://img.rebrickable.com/img/pieces/elements/6112160.jpg
2545,Minifig Imperial Guard Shako,accessory,1989,2013,https://rebrickable.com/parts/2545/minifig-imperial-guard-shako,https://img.rebrickable.com/img/pieces/elements/4540652.jpg
72824pr0001,Soccer Ball with Magenta Outlined Heart and Star Print,accessory,2013,2014,https://rebrickable.com/parts/72824pr0001/soccer-ball-with-magenta-outlined-heart-and-star-print,https://img.rebrickable.com/img/pieces/elements/6023212.jpg
98133,Minifig Ninjago Wrap,accessory,2013,2016,https://rebrickable.com/parts/98133/minifig-ninjago-wrap,https://img.rebrickable.com/img/pieces/elements/4646824.jpg
