part_id,descr,part_type,min_year,max_year,url,img_url
970c00pr0353,Legs and Hips with Olive Green Coattails Print (Legolas) ,legs,2012,2015,https://rebrickable.com/parts/970c00pr0353/legs-and-hips-with-olive-green-coattails-print-legolas-,https://img.rebrickable.com/img/pieces/elements/6005484.jpg
970c00pr0850,Legs and Hips with Dark Blue Knee Plates and Red Avengers Logo Print (Iron Legion),legs,2015,2015,https://rebrickable.com/parts/970c00pr0850/legs-and-hips-with-dark-blue-knee-plates-and-red-avengers-logo-print-iron-legion,https://img.rebrickable.com/img/pieces/elements/6112855.jpg
973pb1014c01,"Torso I love Legoland Print Front, 2011 The LEGO Store San Diego, CA Back Print / White Arms / Yellow Hands",legs,2011,2011,https://rebrickable.com/parts/973pb1014c01/torso-i-love-legoland-print-front+-2011-the-lego-store-san-diego+-ca-back-print-white-arms-yellow-ha,https://img.rebrickable.com/img/ni.png
15,Legs Old,legs,1975,1983,https://rebrickable.com/parts/15/legs-old,https://img.rebrickable.com/img/pieces/0/15.png
970c00pb248,Legs and Hips with Loincloth and Leggings Print,legs,2013,2013,https://rebrickable.com/parts/970c00pb248/legs-and-hips-with-loincloth-and-leggings-print,https://img.rebrickable.com/img/pieces/14/3815c01.png
90001,Octopus Legs,legs,2010,2010,https://rebrickable.com/parts/90001/octopus-legs,https://img.rebrickable.com/img/pieces/elements/4584159.jpg
13037,"Leg Mechanical, Fishface",legs,2013,2013,https://rebrickable.com/parts/13037/leg-mechanical+-fishface,https://img.rebrickable.com/img/ni.png
970x025,Legs and Brown Hips,legs,1999,2003,https://rebrickable.com/parts/970x025/legs-and-brown-hips,https://img.rebrickable.com/img/pieces/elements/9549.jpg
970x024,Legs and Yellow Hips,legs,1994,1998,https://rebrickable.com/parts/970x024/legs-and-yellow-hips,https://img.rebrickable.com/img/pieces/elements/9339.jpg
970c11pb02a,Hips and Legs with Castle Ninja Leg Armour Print,legs,1999,2000,https://rebrickable.com/parts/970c11pb02a/hips-and-legs-with-castle-ninja-leg-armour-print,https://img.rebrickable.com/img/pieces/elements/9339.jpg
970c02pb03,"Legs and White Hips with SW White Leggings, Puttees Print",legs,1999,2014,https://rebrickable.com/parts/970c02pb03/legs-and-white-hips-with-sw-white-leggings+-puttees-print,https://img.rebrickable.com/img/pieces/elements/4570435.jpg
19732,Minecraft Enderman Legs,legs,2014,2016,https://rebrickable.com/parts/19732/minecraft-enderman-legs,https://img.rebrickable.com/img/pieces/elements/6101874.jpg
970c00pb059,Legs and Hips with Rivets Print,legs,2010,2010,https://rebrickable.com/parts/970c00pb059/legs-and-hips-with-rivets-print,https://img.rebrickable.com/img/pieces/elements/6020380.jpg
970c00pr0158,Legs and Hips with Scales and Leg Protection Print,legs,2010,2010,https://rebrickable.com/parts/970c00pr0158/legs-and-hips-with-scales-and-leg-protection-print,https://img.rebrickable.com/img/pieces/elements/4585596.jpg
970c11pb02b,Legs and Blue Hips with Castle Ninja Leg Armour Print,legs,1998,1999,https://rebrickable.com/parts/970c11pb02b/legs-and-blue-hips-with-castle-ninja-leg-armour-print,https://img.rebrickable.com/img/pieces/elements/6063555.jpg
23012,HIP W. WOODEN LEG / 2K LEFT LEG NO.926,legs,2015,2015,https://rebrickable.com/parts/23012/hip-w.-wooden-leg-2k-left-leg-no.926,https://img.rebrickable.com/img/pieces/elements/6122926.jpg
970d03,"Hips and 1 Black Left Leg, 1 Red Right Leg",legs,2001,2002,https://rebrickable.com/parts/970d03/hips-and-1-black-left-leg+-1-red-right-leg,https://img.rebrickable.com/img/ni.png
970c00pr0243,Legs and Hips with Leotard and Leg Warmers Print,legs,2011,2011,https://rebrickable.com/parts/970c00pr0243/legs-and-hips-with-leotard-and-leg-warmers-print,https://img.rebrickable.com/img/pieces/elements/4636847.jpg
970c00pr0113,Legs and White Hips with White Leggings Print,legs,2007,2012,https://rebrickable.com/parts/970c00pr0113/legs-and-white-hips-with-white-leggings-print,https://img.rebrickable.com/img/pieces/elements/4513706.jpg
970d18,"Left Leg, Green Right Leg and Dark Green Hips",legs,2014,2014,https://rebrickable.com/parts/970d18/left-leg+-green-right-leg-and-dark-green-hips,https://img.rebrickable.com/img/pieces/elements/6061493.jpg
970c00pr0745,Legs and Hips with Brown Patch on Left Leg Print,legs,2014,2014,https://rebrickable.com/parts/970c00pr0745/legs-and-hips-with-brown-patch-on-left-leg-print,https://img.rebrickable.com/img/pieces/elements/6086979.jpg
970c02pb13,"Legs and White Hips with SW White Leggings, Puttees Thin Wrap Print",legs,2014,2014,https://rebrickable.com/parts/970c02pb13/legs-and-white-hips-with-sw-white-leggings+-puttees-thin-wrap-print,https://img.rebrickable.com/img/pieces/elements/6056808.jpg
970c11pr0611,Legs and Hips with Leotard and White Leg Warmers Print ,legs,2014,2014,https://rebrickable.com/parts/970c11pr0611/legs-and-hips-with-leotard-and-white-leg-warmers-print-,https://img.rebrickable.com/img/pieces/elements/6058096.jpg
cre010,"Tina, Red Torso and Red Legs",legs,2001,2002,https://rebrickable.com/parts/cre010/tina+-red-torso-and-red-legs,https://img.rebrickable.com/img/ni.png
cre003,"Max, Blue Torso, Black Legs",legs,2001,2006,https://rebrickable.com/parts/cre003/max+-blue-torso+-black-legs,https://img.rebrickable.com/img/ni.png
85863pr0098,Microfig - Legends Of Chima Crocodile,legs,2013,2013,https://rebrickable.com/parts/85863pr0098/microfig-legends-of-chima-crocodile,https://img.rebrickable.com/img/pieces/27/85863.png
cre011,"Max, Red Torso, Black Legs",legs,2001,2002,https://rebrickable.com/parts/cre011/max+-red-torso+-black-legs,https://img.rebrickable.com/img/ni.png
970c00pb241,Legs and Hips with Black Ruffle Print,legs,2013,2013,https://rebrickable.com/parts/970c00pb241/legs-and-hips-with-black-ruffle-print,https://img.rebrickable.com/img/pieces/elements/9327.jpg
cre005,"Tina, White Torso and Red Legs",legs,2001,2004,https://rebrickable.com/parts/cre005/tina+-white-torso-and-red-legs,https://img.rebrickable.com/img/ni.png
13250,"Leg Mechanical, Darth Maul",legs,2013,2013,https://rebrickable.com/parts/13250/leg-mechanical+-darth-maul,https://img.rebrickable.com/img/pieces/elements/6051092.jpg
970x119,Legs and Lime Hips,legs,2014,2014,https://rebrickable.com/parts/970x119/legs-and-lime-hips,https://img.rebrickable.com/img/pieces/elements/6058781.jpg
970x027,Legs and Dark Gray Hips,legs,1998,2004,https://rebrickable.com/parts/970x027/legs-and-dark-gray-hips,https://img.rebrickable.com/img/pieces/elements/4124102.jpg
