part_id,descr,part_type,min_year,max_year,url,img_url
17,Torso Old,torso,1975,1983,https://rebrickable.com/parts/17/torso-old,https://img.rebrickable.com/img/pieces/1/17.png
61193,"Torso Mechanical, Magna Guard",torso,2008,2010,https://rebrickable.com/parts/61193/torso-mechanical+-magna-guard,https://img.rebrickable.com/img/pieces/elements/4527148.jpg
92456pr0093c01,Torso Friends [41171],torso,2016,2016,https://rebrickable.com/parts/92456pr0093c01/torso-friends-%5B41171%5D,https://img.rebrickable.com/img/pieces/elements/6136842.jpg
973pb2298c01,Minifig Torso - Jestro [70316],torso,2016,2016,https://rebrickable.com/parts/973pb2298c01/minifig-torso-jestro-%5B70316%5D,https://img.rebrickable.com/img/pieces/elements/6126984.jpg
cre010,"Tina, Red Torso and Red Legs",torso,2001,2002,https://rebrickable.com/parts/cre010/tina+-red-torso-and-red-legs,https://img.rebrickable.com/img/ni.png
cre005,"Tina, White Torso and Red Legs",torso,2001,2004,https://rebrickable.com/parts/cre005/tina+-white-torso-and-red-legs,https://img.rebrickable.com/img/ni.png
cre003,"Max, Blue Torso, Black Legs",torso,2001,2006,https://rebrickable.com/parts/cre003/max+-blue-torso+-black-legs,https://img.rebrickable.com/img/ni.png
cre011,"Max, Red Torso, Black Legs",torso,2001,2002,https://rebrickable.com/parts/cre011/max+-red-torso+-black-legs,https://img.rebrickable.com/img/ni.png
973pr2731c01,Minifig Torso (Magneto),torso,2014,2014,https://rebrickable.com/parts/973pr2731c01/minifig-torso-magneto,https://img.rebrickable.com/img/pieces/elements/6079109.jpg
92456pr0105c01,"TORSO, GIRL W/ARM NO. 105",torso,2016,2016,https://rebrickable.com/parts/92456pr0105c01/torso+-girl-warm-no.-105,https://img.rebrickable.com/img/pieces/elements/6142023.jpg
973c21,Torso Plain / Blue Arms / White Hands,torso,1998,1998,https://rebrickable.com/parts/973c21/torso-plain-blue-arms-white-hands,https://img.rebrickable.com/img/ni.png
24078,"Torso Mechanical, Nexo Bot",torso,2016,2016,https://rebrickable.com/parts/24078/torso-mechanical+-nexo-bot,https://img.rebrickable.com/img/pieces/elements/6129994.jpg
92456pr0104c01,"TORSO, GIRL W/ARM NO. 104",torso,2016,2016,https://rebrickable.com/parts/92456pr0104c01/torso+-girl-warm-no.-104,https://img.rebrickable.com/img/pieces/elements/6139076.jpg
973bc01,Torso NBA (Plain) / Yellow NBA Arms,torso,2003,2003,https://rebrickable.com/parts/973bc01/torso-nba-plain-yellow-nba-arms,https://img.rebrickable.com/img/ni.png
973c13,Torso Plain / Brown Arms / Brown Hands,torso,2000,2002,https://rebrickable.com/parts/973c13/torso-plain-brown-arms-brown-hands,https://img.rebrickable.com/img/ni.png
92456pr0095c01,"TORSO, GIRL W/ARM NO. 95",torso,2016,2016,https://rebrickable.com/parts/92456pr0095c01/torso+-girl-warm-no.-95,https://img.rebrickable.com/img/pieces/elements/6137434.jpg
973c23,Torso Plain / Red Arms / Black Hands,torso,2003,2003,https://rebrickable.com/parts/973c23/torso-plain-red-arms-black-hands,https://img.rebrickable.com/img/ni.png
cre001,"Tina, Orange Torso, Light Gray Legs",torso,2001,2006,https://rebrickable.com/parts/cre001/tina+-orange-torso+-light-gray-legs,https://img.rebrickable.com/img/ni.png
92456pr0089c01,Torso Friends [41172],torso,2016,2016,https://rebrickable.com/parts/92456pr0089c01/torso-friends-%5B41172%5D,https://img.rebrickable.com/img/pieces/elements/6135513.jpg
92456pr0094c01,"TORSO GIRL W/ARM, NO. 94",torso,2016,2016,https://rebrickable.com/parts/92456pr0094c01/torso-girl-warm+-no.-94,https://img.rebrickable.com/img/pieces/elements/6137051.jpg
x1463,"Torso Mechanical, General Grievous",torso,2005,2009,https://rebrickable.com/parts/x1463/torso-mechanical+-general-grievous,https://img.rebrickable.com/img/pieces/elements/4256805.jpg
973c12,Torso Plain / Green Arms / Black Hands,torso,2000,2005,https://rebrickable.com/parts/973c12/torso-plain-green-arms-black-hands,https://img.rebrickable.com/img/ni.png
92456pr0110c01,TORSO GIRL W/ARM NO. 110,torso,2016,2016,https://rebrickable.com/parts/92456pr0110c01/torso-girl-warm-no.-110,https://img.rebrickable.com/img/pieces/elements/6150155.jpg
92456pr0111c01,"TORSO, GIRL W/ARM, NO. 111",torso,2016,2016,https://rebrickable.com/parts/92456pr0111c01/torso+-girl-warm+-no.-111,https://img.rebrickable.com/img/pieces/elements/6150179.jpg
92456pr0097c01,"TORSO, GIRL W/ARM NO. 97",torso,2016,2016,https://rebrickable.com/parts/92456pr0097c01/torso+-girl-warm-no.-97,https://img.rebrickable.com/img/pieces/elements/6137447.jpg
92456pr0106c01,"TORSO, GIRL W/ARM NO. 106",torso,2016,2016,https://rebrickable.com/parts/92456pr0106c01/torso+-girl-warm-no.-106,https://img.rebrickable.com/img/pieces/elements/6142048.jpg
92815pr0004c01,"TORSO, MAN, W/ARM, NO. 4",torso,2016,2016,https://rebrickable.com/parts/92815pr0004c01/torso+-man+-warm+-no.-4,https://img.rebrickable.com/img/pieces/elements/6149963.jpg
