theme_id,descr
029,4 Juniors
029.01,Jack Stone
029.01.02,Airport
029.01.03,Fire
029.01.05,Gas Station
029.01.01,Police
029.01.04,Traffic
029.02,Pirates
029.03,Spider-Man
029.03.01,Spider-Man 2
029.04,Supplemental
029.05,Town
029.05.03,Construction
029.05.05,Fire
029.05.04,Gas Station
029.05.01,Police
029.05.02,Traffic
030,Adventurers
030.01,Desert
030.02,Dino Island
030.03,Jungle
030.04,Orient Expedition
032,Agents
032.01,Ultra Agents
033,Alpha Team
033.02,Mission Deep Freeze
033.01,Mission Deep Sea
112,Angry Birds
034,Aquazone
034.01,Aquanauts
034.02,Aquaraiders I
034.03,Aquaraiders II
034.04,Aquasharks
034.05,Hydronauts
034.06,Stingrays
034.07,Supplemental
014,Architecture
035,Atlantis
035.01,Mini
036,Avatar
038,Belville
038.01,Fairy-Tale
038.02,Golden Land
038.03,Hospital
038.04,Playhouse
038.05,Recreation
021,Ben 10
039,Bionicle
039.01,Agori
039.02,Barraki
039.03,Battle Vehicles
039.04,Bohrok
039.06,Bohrok-Kal
039.05,Bohrok Va
039.07,Glatorian
039.08,Glatorian Legends
039.09,Matoran of Light
039.10,Matoran of Mahri Nui
039.11,Matoran of Mata Nui
039.12,Matoran of Metru Nui
039.13,Matoran of Voya Nui
039.14,Mistika
039.15,Phantoka
039.16,Piraka
039.17,Playsets
039.36,Protectors
039.18,Rahaga
039.19,Rahi
039.20,Rahkshi
039.37,Skull Spiders
039.21,Stars
039.22,Supplemental
039.23,Titans
039.24,Toa
039.25,Toa Hagah
039.26,Toa Hordika
039.27,Toa Inika
039.28,Toa Mahri
039.29,Toa Metru
039.30,Toa Nuva
039.38,Toa Okoto
039.31,Tohunga
039.32,Turaga
039.33,Vahki
039.34,Visorak
039.35,Warriors
040,Boat
083,Books
083.01,Technic
083.02,Train
041,Building Set with People
015,Bulk Bricks
015.01,Castle
015.02,Technic
015.03,Train
019,Cars
009,Castle
009.01,Black Falcons
009.02,Black Knights
009.03,Classic Castle
009.04,Crusaders
009.05,Dark Forest
009.06,Dragon Knights
009.07,Fantasy Era
009.08,Forestmen
009.09,Fright Knights
009.10,Kingdoms
009.11,Knights Kingdom I
009.12,Knights Kingdom II
009.13,Lion Knights
009.14,My Own Creation
009.15,Royal Knights
009.16,Supplemental
009.17,Wolfpack
042,Classic
042.01,Basic Set
042.02,Building
042.03,HO 1:87 Vehicles
042.04,Jumbo Bricks
042.05,Mosaic
042.06,Supplemental
042.07,Town Plan
042.08,Vehicle
042.08.01,Airport
042.08.09,Cargo
042.08.08,Construction
042.08.02,Farm
042.08.03,Fire
042.08.04,Harbor
042.08.06,Supplemental
042.08.05,Traffic
042.08.07,Train
042.09,Wooden Box Set
084,Clikits
088,Collectible Minifigures
088.22,DFB Minifigures
088.20,Disney
088.10,Series 10 Minifigures
088.12,Series 11 Minifigures
088.13,Series 12 Minifigures
088.16,Series 13 Minifigures
088.17,Series 14 Minifigures
088.19,Series 15 Minifigures
088.21,Series 16 Minifigures
088.01,Series 1 Minifigures
088.02,Series 2 Minifigures
088.03,Series 3 Minifigures
088.04,Series 4 Minifigures
088.05,Series 5 Minifigures
088.06,Series 6 Minifigures
088.07,Series 7 Minifigures
088.08,Series 8 Minifigures
088.09,Series 9 Minifigures
088.11,Team GB
088.14,The LEGO Movie Series
088.15,The Simpsons
088.18,The Simpsons Series 2
002,Creator
002.01,Basic Model
002.01.01,Airport
002.01.12,Building
002.01.13,Cargo
002.01.02,Castle
002.01.03,Construction
002.01.09,Creature
002.01.14,Fire
002.01.11,Food &amp; Drink
002.01.05,Harbor
002.01.04,Race
002.01.10,Robot
002.01.08,Traffic
002.01.07,Train
002.02,Basic Set
002.05,Mecha
002.03,Model
002.03.04,Airport
002.03.05,Building
002.03.07,Cargo
002.03.02,Creature
002.03.09,Fire
002.03.08,Harbor
002.03.06,Recreation
002.03.03,Riding Cycle
002.03.01,Traffic
002.04,Supplemental
010,Designer Sets
010.01,Building
110,Dimensions
080,Dino
043,Dino 2010
044,Dino Attack
045,Dinosaurs
046,Discovery
114,Disney
100,Disney Princess
047,Disney&#039;s Mickey Mouse
086,Duplo
086.01,Basic Set
086.02,Cars
087,Educational and Dacta
087.01,4 Juniors
087.02,Adventurers
087.03,Boat
087.04,Building Set with People
